date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:17	109568/109568	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16ff4-1ac00%22	https://demo.dashboardpack.com/user-management-html/index.html	demo.dashboardpack.com/user-management-html/index-2.html	(from https://demo.dashboardpack.com/user-management-html/)
21:32:17	2397/2397	---M--	200	added ('OK')	image/png	etag:%225fc17027-95d%22	https://demo.dashboardpack.com/user-management-html/img/logo.png	demo.dashboardpack.com/user-management-html/img/logo.png	(from https://demo.dashboardpack.com/user-management-html/)
21:32:19	2215/2215	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fc170b3-8a7%22	https://demo.dashboardpack.com/user-management-html/img/menu-icon/dashboard.svg	demo.dashboardpack.com/user-management-html/img/menu-icon/dashboard.svg	(from https://demo.dashboardpack.com/user-management-html/)
21:32:20	93680/93680	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16ff5-16df0%22	https://demo.dashboardpack.com/user-management-html/index_2.html	demo.dashboardpack.com/user-management-html/index_2.html	(from https://demo.dashboardpack.com/user-management-html/)
21:32:21	109587/109587	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16ff6-1ac13%22	https://demo.dashboardpack.com/user-management-html/index_3.html	demo.dashboardpack.com/user-management-html/index_3.html	(from https://demo.dashboardpack.com/user-management-html/)
21:32:22	1277/1277	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fc170ad-4fd%22	https://demo.dashboardpack.com/user-management-html/img/menu-icon/2.svg	demo.dashboardpack.com/user-management-html/img/menu-icon/2.svg	(from https://demo.dashboardpack.com/user-management-html/)
21:32:23	36217/36217	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16fef-8d79%22	https://demo.dashboardpack.com/user-management-html/editor.html	demo.dashboardpack.com/user-management-html/editor.html	(from https://demo.dashboardpack.com/user-management-html/)
21:32:24	53558/53558	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16ffa-d136%22	https://demo.dashboardpack.com/user-management-html/mail_box.html	demo.dashboardpack.com/user-management-html/mail_box.html	(from https://demo.dashboardpack.com/user-management-html/)
21:32:25	47535/47535	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16fea-b9af%22	https://demo.dashboardpack.com/user-management-html/chat.html	demo.dashboardpack.com/user-management-html/chat.html	(from https://demo.dashboardpack.com/user-management-html/)
21:32:26	51330/51330	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16ff1-c882%22	https://demo.dashboardpack.com/user-management-html/faq.html	demo.dashboardpack.com/user-management-html/faq.html	(from https://demo.dashboardpack.com/user-management-html/)
21:32:27	2333/2333	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fc170af-91d%22	https://demo.dashboardpack.com/user-management-html/img/menu-icon/3.svg	demo.dashboardpack.com/user-management-html/img/menu-icon/3.svg	(from https://demo.dashboardpack.com/user-management-html/)
21:32:28	32337/32337	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16ffa-7e51%22	https://demo.dashboardpack.com/user-management-html/login.html	demo.dashboardpack.com/user-management-html/login.html	(from https://demo.dashboardpack.com/user-management-html/)
21:32:29	32994/32994	---MCZ	200	added ('OK')	text/html	etag:W/%225fc17002-80e2%22	https://demo.dashboardpack.com/user-management-html/resister.html	demo.dashboardpack.com/user-management-html/resister.html	(from https://demo.dashboardpack.com/user-management-html/)
21:32:30	3072/3072	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16ff0-c00%22	https://demo.dashboardpack.com/user-management-html/error_400.html	demo.dashboardpack.com/user-management-html/error_400.html	(from https://demo.dashboardpack.com/user-management-html/)
21:32:31	3060/3060	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16ff1-bf4%22	https://demo.dashboardpack.com/user-management-html/error_500.html	demo.dashboardpack.com/user-management-html/error_500.html	(from https://demo.dashboardpack.com/user-management-html/)
21:32:32	31648/31648	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16ff3-7ba0%22	https://demo.dashboardpack.com/user-management-html/forgot_pass.html	demo.dashboardpack.com/user-management-html/forgot_pass.html	(from https://demo.dashboardpack.com/user-management-html/)
